name,age,nationality,club,overall,potential,valueEuros,weakFoot,skillMoves,position,pace,shooting,passing,dribbling,defending,physical
L. Crecco,23,Italy,Pescara,67,72,1000000,3,3,LCM,69,54,64,67,57,71
C. Rodríguez,24,Chile,CD Everton de Viña del Mar,67,72,900000,3,3,RB,71,39,61,68,65,68
G. Navarrete,24,Chile,Coquimbo Unido,67,72,1000000,3,2,RCM,69,51,67,66,42,55
F. De Col,25,Italy,Spezia,67,72,900000,3,2,RES,74,30,51,56,65,76
C. Cuevas,24,Chile,CD Huachipato,67,72,900000,3,3,SUB,81,57,63,68,63,61
S. Nicholson,24,Scotland,Colorado Rapids,67,72,1000000,4,3,RM,86,60,57,71,48,62
L. Rosseti,24,Italy,Ascoli,67,72,1000000,3,3,SUB,69,64,57,64,29,71
M. Diagne,25,Senegal,Sporting de Charleroi,67,72,900000,2,2,RCB,71,29,46,46,66,73
E. Lancini,25,Italy,Brescia,67,72,900000,2,2,RES,66,34,42,50,66,72
F. Palacios Martínez,24,Spain,1. FC Nürnberg,67,72,1000000,3,4,RES,73,66,59,78,31,44
M. Spano-Rahou,24,France,Valenciennes FC,67,72,925000,3,2,CB,62,34,45,50,65,73
I. Poblete,24,Chile,CD Cobresal,67,72,1000000,3,3,CAM,69,61,65,70,35,64
E. Bonifacio,25,Argentina,Unión de Santa Fe,67,72,900000,3,2,RM,71,36,50,64,66,62
J. Benet,24,France,Grenoble Foot 38,67,72,1000000,4,2,SUB,63,55,67,64,56,70
M. Al Kuwaykibi,24,Saudi Arabia,Ettifaq FC,67,72,1000000,2,4,RM,89,64,57,75,27,51
G. Di Noia,24,Italy,Chievo Verona,67,72,1000000,3,2,SUB,70,62,65,64,65,69
D. Liotti,25,Italy,Pisa,67,72,900000,3,2,LB,82,52,65,70,61,72
Carlos Nieto,23,Spain,Real Zaragoza,67,72,900000,2,2,LB,68,55,64,63,64,74
M. Thychosen,22,Denmark,FC Nordsjælland,67,72,900000,3,3,RB,82,59,61,67,59,72
L. Gonnelli,26,Italy,Livorno,67,72,900000,3,2,RCB,57,26,37,43,66,72
Q. Lecoeuche,25,France,FC Lorient,67,72,900000,3,3,SUB,76,51,60,66,63,63
Akieme,21,Spain,Rayo Vallecano,67,72,900000,3,2,SUB,74,36,52,65,64,66
C. Depres,24,France,Nîmes Olympique,67,72,1000000,3,3,SUB,52,67,51,62,30,63
H. Pehlivan,25,Turkey,Gençlerbirliği SK,67,72,900000,3,2,SUB,66,50,53,62,66,66
S. Spierings,23,Netherlands,RKC Waalwijk,67,72,1000000,3,3,RCM,58,48,65,70,48,63
T. Deng,22,Australia,Melbourne Victory,67,72,925000,3,2,RCB,75,27,46,55,66,71
J. Bizama,25,Chile,Houston Dynamo,67,72,900000,3,2,RES,77,45,59,62,65,74
K. Osorio,25,Colombia,Patriotas Boyacá FC,67,72,1000000,4,3,CAM,71,69,65,68,56,73
J. Niezgoda,24,Poland,Legia Warszawa,67,72,1000000,4,3,SUB,75,66,48,64,34,62
H. Kawabe,23,Japan,Sanfrecce Hiroshima,67,72,1000000,3,3,RCM,77,60,65,69,61,68
D. Warmerdam,23,Netherlands,FC Groningen,67,72,1000000,2,3,SUB,71,60,65,69,63,74
J. Bruijn,22,Netherlands,SC Heerenveen,67,72,1000000,4,3,CAM,71,55,68,72,50,57
R. Popa,22,Romania,Gaz Metan Mediaş,67,72,925000,3,2,SUB,54,29,49,45,67,65
Lasure,25,Spain,Real Zaragoza,67,72,900000,3,2,SUB,70,44,57,61,64,73
D. Bamba,24,Ivory Coast,SK Brann,67,72,1000000,4,3,SUB,85,65,52,67,24,68
Deng Hanwen,24,China PR,Guangzhou Evergrande Taobao FC,67,72,900000,4,3,SUB,76,50,56,66,63,63
L. Abubakar,24,Ghana,Colorado Rapids,67,72,925000,2,2,RCB,60,32,50,46,64,77
Eric Curbelo,25,Spain,UD Las Palmas,67,72,900000,5,2,SUB,78,34,52,61,65,64
A. Onaiwu,23,Japan,Oita Trinita,67,72,1000000,3,2,ST,81,63,47,60,33,74
C. Colmán,25,Paraguay,FC Dallas,67,72,1000000,3,3,RES,71,65,45,65,26,66
André Pedrosa,22,Portugal,Vitória de Setúbal,67,72,925000,4,2,SUB,65,50,65,65,63,62
R. Preißinger,22,Germany,1. FC Magdeburg,67,72,925000,4,2,LDM,66,56,61,63,63,75
V. Gvilia,25,Georgia,Legia Warszawa,67,72,1000000,4,3,CAM,64,62,69,68,46,65
M. Adams,22,England,Atlanta United,67,72,925000,3,2,SUB,66,48,55,65,67,66
Stoichkov,25,Spain,AD Alcorcón,67,72,1000000,3,3,SUB,69,67,63,70,47,57
U. Meraş,23,Turkey,Le Havre AC,67,72,900000,3,2,LB,68,42,58,65,65,63
X. Arreaga,24,Ecuador,Seattle Sounders FC,67,72,925000,3,2,LCB,53,24,37,31,69,71
V. Savićević,25,Montenegro,Wisła Kraków,67,72,1000000,3,2,CDM,66,64,66,66,54,63
J. Mellot,25,France,En Avant de Guingamp,67,72,900000,3,3,RB,77,39,53,66,64,68
Rômulo,23,Brazil,Portimonense SC,67,72,925000,3,2,RCM,61,45,64,58,64,72
D. Takagi,23,Japan,Gamba Osaka,67,72,1000000,4,3,SUB,74,63,63,70,33,51
J. Forster-Caskey,25,England,Charlton Athletic,67,71,975000,2,3,SUB,71,61,64,67,60,63
P. Parzyszek,25,Poland,Piast Gliwice,67,71,1000000,4,2,LS,61,63,53,62,39,73
C. Edwards,25,England,Djurgårdens IF,67,71,975000,4,3,SUB,56,66,67,65,58,63
A. Oshilaja,26,England,Charlton Athletic,67,71,875000,3,2,SUB,83,26,45,57,65,77
T. Grøgaard,25,Norway,SK Brann,67,71,875000,2,3,LB,76,45,62,66,63,67
J. Baldwin,26,England,Sunderland,67,71,875000,3,2,SUB,65,36,53,51,66,74
D. Marsura,25,Italy,Livorno,67,71,1000000,3,3,LF,86,63,59,71,32,67
A. Mendoza,25,Mexico,U.N.A.M.,67,71,875000,2,3,SUB,70,59,67,66,62,73
Bruninho,25,Brazil,CD Aves,67,71,875000,2,2,SUB,85,50,59,68,59,52
B. Edomwonyi,24,Nigeria,FK Austria Wien,67,71,1000000,3,3,SUB,89,62,49,68,29,69
S. Pasa,25,Italy,Pordenone,67,71,975000,3,2,SUB,55,54,63,64,66,73
A. Deja,26,Poland,Arka Gdynia,67,71,875000,3,3,RDM,66,44,59,62,64,77
L. Cabrera,25,Chile,Audax Italiano,67,71,900000,2,3,SUB,59,48,59,68,67,71
J. van Aken,25,Netherlands,VfL Osnabrück,67,71,875000,2,2,SUB,58,34,56,60,66,69
T. Dierckx,24,Belgium,Waasland-Beveren,67,71,1000000,5,3,SUB,76,65,59,70,19,60
C. Hountondji,25,Benin,Clermont Foot 63,67,71,875000,2,2,RCB,52,33,51,48,66,72
P. Lipski,25,Poland,Lechia Gdańsk,67,71,975000,3,3,SUB,67,65,66,67,33,71
Claude Gonçalves,25,Portugal,Gil Vicente FC,67,71,900000,2,2,SUB,67,40,57,65,67,69
P. Ciurria,24,Italy,Pordenone,67,71,1000000,3,2,SUB,72,63,65,68,29,52
Campins,24,Spain,Royal Excel Mouscron,67,71,875000,3,2,RWB,79,39,58,61,63,62
Moi Delgado,25,Spain,Racing Santander,67,71,875000,3,3,SUB,81,35,59,65,62,62
B. Tuiloma,24,New Zealand,Portland Timbers,67,71,900000,3,2,LCB,57,44,58,58,66,71
L. López,25,Mexico,Club América,67,71,975000,3,3,SUB,65,50,65,65,63,66
F. Grillo,26,Argentina,Göztepe SK,67,71,875000,3,2,SUB,73,35,48,62,65,74
M. Devlin,25,Scotland,Aberdeen,67,71,875000,3,2,SUB,44,28,35,40,66,79
A. Polo,24,Peru,Portland Timbers,67,71,1000000,3,3,RM,89,58,59,67,56,53
M. Pinato,24,Italy,Pisa,67,71,975000,3,3,LCM,72,58,66,68,62,66
M. Poletanović,25,Serbia,Jagiellonia Białystok,67,71,900000,3,3,SUB,54,65,68,66,61,66
An Hyeon Beom,24,Korea Republic,Jeju United FC,67,71,1000000,3,3,SUB,84,58,59,67,53,61
F. Bambock,24,France,Clube Sport Marítimo,67,71,900000,3,2,LDM,62,49,56,60,66,79
S. Al Ghannam,25,Saudi Arabia,Al Nassr,67,71,875000,2,3,RB,80,50,62,68,63,68
G. Rolando,24,Italy,Sampdoria,67,71,1000000,4,3,RES,84,49,64,68,61,64
J. Nyholm,25,Sweden,AIK,67,71,875000,3,2,RES,80,45,53,64,66,66
Z. Arsenić,25,Croatia,Jagiellonia Białystok,67,71,875000,3,2,LCB,68,39,52,54,66,72
T. Müller,24,Germany,1. FC Magdeburg,67,71,900000,4,2,LCB,67,26,45,45,67,71
J. Billong,25,France,US Salernitana 1919,67,71,875000,3,2,SUB,53,34,46,46,66,73
F. Pierrot,24,Haiti,Royal Excel Mouscron,67,71,1000000,3,2,SUB,64,65,50,55,28,78
Leandro Vilela,24,Brazil,Vitória de Setúbal,67,71,900000,2,2,SUB,56,42,59,64,66,71
Pablo Trigueros,26,Spain,SD Ponferradina,67,71,875000,3,2,RCB,57,37,47,45,66,71
T. Flanagan,27,Northern Ireland,Sunderland,67,70,825000,3,2,LCB,63,33,53,59,65,74
J. Stockley,25,England,Preston North End,67,70,975000,2,2,SUB,65,63,43,61,32,79
L. Castaignos,26,Netherlands,Gyeongnam FC,67,70,975000,2,3,LS,71,65,61,66,32,69
K. Barmen,25,Norway,SK Brann,67,70,950000,3,3,CDM,63,65,64,66,64,77
J. Knudsen,26,Denmark,Malmö FF,67,70,850000,3,2,SUB,66,45,62,65,67,72
M. Potzmann,25,Austria,SK Rapid Wien,67,70,850000,3,3,SUB,78,62,59,67,63,67
J. Lundstram,25,England,Sheffield United,67,70,950000,5,2,RCM,65,58,64,62,68,71
G. Moncur,25,England,Luton Town,67,70,950000,3,3,SUB,67,62,68,69,51,62
M. Haïdara,26,France,Racing Club de Lens,67,70,825000,3,3,SUB,74,51,59,66,66,73
C. Aneke,25,England,Charlton Athletic,67,70,975000,3,3,SUB,51,65,64,66,52,75
Li Ke,26,China PR,Beijing Sinobo Guoan FC,67,70,925000,3,2,RDM,75,60,61,66,67,69
R. Hall,25,England,Oxford United,67,70,950000,4,3,SUB,88,61,61,68,32,61
R. McKenzie,25,Scotland,Kilmarnock,67,70,950000,3,3,RCM,83,56,62,68,34,69
S. Parker,26,Germany,SpVgg Greuther Fürth,67,70,975000,4,3,RES,76,68,56,69,28,56
D. McGeouch,26,Scotland,Sunderland,67,70,925000,3,3,LCM,64,50,65,68,57,69
M. Chiosa,25,Italy,Virtus Entella,67,70,850000,3,2,RCB,73,17,43,58,67,68
M. Belyaev,27,Russia,Russia,67,70,0,3,2,,67,28,39,36,71,65
R. Pröpper,25,Netherlands,Heracles Almelo,67,70,850000,3,2,LCB,45,52,59,52,66,74
K. Pusch,26,Germany,1. FC Heidenheim 1846,67,70,950000,3,2,SUB,67,60,63,66,55,66
F. Holst,24,Denmark,IF Elfsborg,67,70,850000,3,2,RB,81,54,63,65,61,66
Luis Valcarce,26,Spain,SD Ponferradina,67,70,825000,3,3,SUB,84,53,62,66,58,72
L. Bertone,25,Switzerland,FC Cincinnati,67,70,950000,3,2,RDM,67,64,65,63,62,69
E. Ba,26,France,Racing Club de Lens,67,70,850000,3,3,RES,67,52,59,66,64,73
Jefferson,25,Brazil,Gazişehir Gaziantep F.K.,67,70,950000,2,3,LDM,71,50,64,67,56,69
S. Lundholm,25,Sweden,IK Sirius,67,70,950000,3,3,RM,77,58,61,71,41,59
Lucas,26,Brazil,FC Luzern,67,70,850000,3,2,RCB,51,28,40,36,67,73
N. Poulsen,25,Denmark,Aarhus GF,67,70,950000,3,3,CDM,56,44,66,66,64,75
C. Robles,27,Colombia,Deportes Tolima,67,70,825000,3,2,LDM,55,48,60,56,63,74
J. Zuluaga,26,Colombia,América de Cali,67,70,825000,3,2,RB,77,32,59,55,62,62
N. Palacios,27,Colombia,Independiente Medellín,67,70,825000,3,2,RES,41,39,52,56,68,79
L. Melano,26,Argentina,Atlético Tucumán,67,70,975000,3,3,SUB,84,62,61,67,32,71
D. Watmore,25,England,Sunderland,67,70,950000,3,3,SUB,80,64,61,69,37,59
S. Mrowca,25,Poland,SV Wehen Wiesbaden,67,70,875000,3,2,LDM,71,48,59,63,63,77
Raphael Silva,27,Brazil,Al Faisaly,67,70,825000,2,2,RCB,45,34,31,37,68,73
M. Pavelic,25,Austria,Sarpsborg 08 FF,67,70,850000,2,2,SUB,75,53,61,65,62,66
D. Mendoza,26,Argentina,Club Atlético Huracán,67,70,975000,3,3,SUB,61,68,54,64,34,67
A. Al Sulayhim,25,Saudi Arabia,Al Shabab,67,70,950000,4,3,LCM,73,54,62,72,60,64
E. Arango,25,Colombia,Alianza Petrolera,67,70,950000,3,3,SUB,79,59,66,66,27,64
J. Kayembe,24,Belgium,FC Nantes,67,70,975000,4,3,RES,81,55,60,71,37,54
Pablo Pérez,25,Spain,Real Sporting de Gijón,67,70,950000,3,3,SUB,60,64,67,65,52,63
J. Salas,25,Mexico,Cruz Azul,67,70,950000,3,3,SUB,65,55,65,65,58,72
A. Ba,25,Mauritania,AJ Auxerre,67,70,850000,2,2,SUB,49,33,42,41,67,76
M. Dittgen,24,Germany,SV Wehen Wiesbaden,67,70,975000,3,3,LM,80,57,58,69,55,65
A. Arregui,26,Argentina,Independiente Medellín,67,70,850000,3,2,LDM,70,56,55,62,65,77
F. Alashe,25,United States,FC Cincinnati,67,70,850000,3,2,SUB,65,43,52,62,63,74
M. Polster,26,United States,Rangers FC,67,70,825000,2,3,RES,55,47,64,64,66,79
R. Mazáň,25,Slovakia,CD Tenerife,67,70,850000,3,3,LB,63,48,62,69,65,68
A. Kanté,24,Gambia,KSV Cercle Brugge,67,70,975000,3,2,SUB,88,63,56,67,20,68
B. Niňaj,25,Slovakia,Fortuna Sittard,67,70,850000,3,2,RCB,42,24,55,48,66,73
C. Tabó,25,Uruguay,Puebla FC,67,70,950000,3,3,RM,81,59,60,71,27,64
V. Rodić,25,Montenegro,Hammarby IF,67,70,950000,3,3,SUB,81,59,57,70,45,65
S. Rapp,26,Switzerland,FC Thun,67,70,975000,3,3,LS,71,61,52,62,33,74
M. Pučko,25,Slovenia,Korona Kielce,67,70,950000,4,3,SUB,73,67,62,70,33,43
R. Harakawa,25,Japan,Sagan Tosu,67,70,950000,3,3,LCM,80,58,64,70,57,63
A. Fukumori,26,Japan,Hokkaido Consadole Sapporo,67,70,850000,3,2,LCB,64,63,68,56,66,72
N. Solís,25,Argentina,Club Atlético Aldosivi,67,70,950000,3,3,LW,80,63,61,73,31,40
V. Ramis,24,Argentina,Argentinos Juniors,67,70,975000,3,3,RES,74,64,57,69,39,69
J. Aja,26,Uruguay,Unión Española,67,70,850000,3,2,RCB,60,37,40,46,65,78
M. Cabit,26,France,FC Metz,67,70,825000,3,2,SUB,73,38,59,62,65,65
J. Noy,26,Uruguay,FC Juárez,67,70,850000,3,2,SUB,66,37,59,61,66,65
M. Saadane,27,Morocco,Al Fateh,67,70,825000,3,2,RDM,59,47,59,60,66,65
F. Rogic,26,Sweden,Örebro SK,67,70,925000,4,2,LCM,69,59,62,67,61,76
B. De Alba,26,Colombia,La Equidad,67,70,950000,2,3,SUB,80,54,66,69,35,47
T. Schwede,25,Germany,SC Paderborn 07,67,70,950000,3,3,RES,78,54,61,67,31,60
H. Akbunar,25,Turkey,Göztepe SK,67,70,950000,3,3,LM,81,58,62,69,33,42
F. Bechtholdt,25,Argentina,Curicó Unido,67,70,850000,2,2,RCB,56,48,53,60,67,68
S. Ngom,26,Senegal,FC Nantes,67,70,975000,4,3,RES,73,68,55,69,29,61
T. Hájek,27,Czech Republic,Vitesse,67,70,825000,3,2,SUB,61,25,49,37,68,65
Luis Mago,24,Venezuela,CD Palestino,67,70,875000,2,2,LCB,77,42,59,54,66,70
F. Makaringe,26,South Africa,Orlando Pirates,67,70,950000,4,2,SUB,74,49,68,69,46,66
Carlos Bravo,26,Spain,SD Ponferradina,67,70,950000,3,2,SUB,63,61,64,70,43,47
M. Rosafio,25,Italy,Cittadella,67,70,950000,3,2,CAM,81,63,63,69,29,58
Z. Naidji,24,Algeria,Gil Vicente FC,67,70,975000,2,2,SUB,71,69,47,68,27,56
Rubén Lobato,25,Spain,SD Eibar,67,70,850000,3,2,RES,72,39,56,65,63,68
S. Wangberg,28,Norway,Tromsø IL,67,69,775000,3,2,CB,52,39,50,44,65,76
D. Gissi,28,Switzerland,Atlético Tucumán,67,69,775000,3,2,LCB,38,47,58,55,63,78
P. Downing,27,England,Portsmouth,67,69,800000,3,2,RCB,59,37,49,45,66,73
J. Shaughnessy,26,Republic of Ireland,Southend United,67,69,825000,4,2,RCB,69,21,48,60,65,74
J. Lowe,27,England,Bolton Wanderers,67,69,800000,3,2,SUB,60,49,60,59,66,72
J. Clarke-Harris,24,England,Bristol Rovers,67,69,950000,4,2,ST,77,70,45,62,23,75
P. McEleney,26,Republic of Ireland,Dundalk,67,69,925000,4,3,CAM,78,60,64,68,55,64
N. Dussenne,27,Belgium,Standard de Liège,67,69,800000,3,2,SUB,33,34,46,43,68,71
R. Teibert,26,Canada,Vancouver Whitecaps FC,67,69,900000,3,3,CDM,60,53,67,68,62,64
J. Jønsson,26,Denmark,Atiker Konyaspor,67,69,825000,3,2,RDM,74,56,60,64,64,73
G. Hall,27,England,Queens Park Rangers,67,69,800000,3,2,RCB,61,36,46,43,66,70
K. Vollmann,25,Germany,FC Hansa Rostock,67,69,925000,3,3,RM,82,60,62,69,41,66
M. Ihiekwe,26,England,Rotherham United,67,69,825000,3,2,RCB,70,31,43,53,65,73
M. Rutten,26,Netherlands,Crotone,67,69,800000,5,2,SUB,68,49,59,64,66,70
P. Hofmann,26,Germany,Karlsruher SC,67,69,925000,2,2,RS,55,65,50,57,32,78
A. Youga,26,Central African Rep.,Le Havre AC,67,69,825000,3,2,SUB,53,52,55,55,65,81
H. Sacko,25,Mali,Denizlispor,67,69,925000,3,3,SUB,88,65,55,69,27,70
F. Tardieu,27,France,ESTAC Troyes,67,69,800000,3,3,CDM,59,60,65,64,64,69
Y. Musavu-King,27,Gabon,Le Mans FC,67,69,800000,2,2,LCB,55,35,48,51,66,75
D. Gallagher,28,Scotland,Motherwell,67,69,775000,3,2,RCB,51,27,43,44,65,78
Renato,26,Brazil,Shimizu S-Pulse,67,69,825000,3,2,RDM,68,56,62,64,68,73
B. Godeau,27,Belgium,Royal Excel Mouscron,67,69,800000,3,2,LCB,37,35,56,50,68,68
T. Ebner,27,Austria,FK Austria Wien,67,69,800000,3,2,SUB,69,36,56,60,67,76
S. Rincón,25,Colombia,Club Atlético Aldosivi,67,69,925000,2,4,RW,78,66,59,67,28,65
F. Forte,26,Italy,Waasland-Beveren,67,69,925000,3,2,ST,57,67,55,63,30,67
E. Boateng,25,Ghana,DC United,67,69,925000,2,3,SUB,90,60,60,70,41,58
P. Sotiriou,26,Cyprus,FC København,67,69,925000,3,3,LS,75,61,50,66,38,77
A. Castro,25,Colombia,Deportes Tolima,67,69,925000,3,3,LM,80,58,67,68,34,47
M. Engels,25,Germany,SV Sandhausen,67,69,950000,3,3,LM,73,68,62,68,27,66
M. Rayhi,25,Netherlands,Sparta Rotterdam,67,69,925000,4,3,LM,77,66,63,72,46,68
N. Besler,26,United States,Real Salt Lake,67,69,825000,2,2,SUB,62,41,58,61,64,71
D. Melnjak,26,Croatia,Çaykur Rizespor,67,69,800000,3,2,LB,69,52,63,68,64,65
P. Eze,26,Nigeria,Atiker Konyaspor,67,69,925000,3,2,RES,79,67,47,64,29,78
B. Smeets,26,Netherlands,Sparta Rotterdam,67,69,900000,3,3,CM,67,58,64,65,63,82
R. Yamanaka,26,Japan,Urawa Red Diamonds,67,69,800000,3,3,SUB,75,50,65,67,62,69
S. Camara,26,France,Le Havre AC,67,69,825000,3,2,LCB,65,39,49,48,64,78
A. Mehremić,27,Bosnia Herzegovina,CD Aves,67,69,800000,3,2,LCB,50,27,50,57,66,74
Renê Santos,27,Brazil,Clube Sport Marítimo,67,69,800000,2,2,SUB,53,43,50,57,68,77
O. Thioune,25,Senegal,FC Sochaux-Montbéliard,67,69,925000,3,2,SUB,59,53,66,65,65,64
J. Nation,29,Norway,Vålerenga Fotball,67,68,725000,3,2,RES,51,33,48,48,64,75
L. De Bock,26,Belgium,Leeds United,67,68,775000,4,3,RES,68,46,64,64,65,73
M. Smith,27,England,Rotherham United,67,68,900000,3,2,ST,64,64,53,60,30,77
T. Aldred,28,Scotland,Brisbane Roar,67,68,750000,2,2,RCB,48,30,39,38,63,81
G. Nauber,27,Germany,SV Sandhausen,67,68,775000,3,2,RCB,57,35,41,41,68,72
C. Shields,28,Republic of Ireland,Dundalk,67,68,750000,3,2,RCM,46,55,60,58,64,79
T. Børven,27,Norway,Odds BK,67,68,900000,4,2,ST,71,67,54,65,31,62
J. Zoua,27,Cameroon,Cameroon,67,68,0,3,3,,75,64,58,64,33,77
S. Pettinari,27,Italy,Lecce,67,68,900000,4,3,RES,76,63,55,70,27,72
R. Aya,28,Italy,Pisa,67,68,750000,3,2,RCB,69,45,53,53,65,71
J. Cools,28,Belgium,KAS Eupen,67,68,750000,3,2,SUB,50,52,64,56,68,70
S. Gallucci,28,Argentina,Central Córdoba,67,68,750000,3,2,SUB,62,49,60,55,68,72
T. Leugers,28,Germany,SV Meppen,67,68,750000,3,2,SUB,67,52,63,64,64,71
M. Deplagne,27,France,FC Cincinnati,67,68,750000,2,2,LB,51,28,62,48,69,73
R. Laursen,27,Denmark,Odense Boldklub,67,68,750000,2,2,RWB,84,36,57,62,59,66
J. Flanagan,26,England,Rangers FC,67,68,775000,2,2,SUB,65,37,56,62,68,73
E. Zavaleta,26,United States,Toronto FC,67,68,800000,2,2,SUB,60,55,52,55,64,75
K. Løkberg,27,Norway,Viking FK,67,68,850000,4,3,RES,65,62,62,67,58,68
Leandro,26,Brazil,Kashima Antlers,67,68,900000,3,2,SUB,73,67,62,67,33,72
P. Steinhart,26,Germany,TSV 1860 München,67,68,775000,3,2,LB,73,54,68,62,61,70
G. Edwards,26,Wales,Ipswich Town,67,68,900000,3,3,LM,81,61,61,71,41,50
A. Lazaar,27,Morocco,Newcastle United,67,68,750000,3,3,RES,65,57,64,70,65,62
Juan Cruz,26,Spain,Elche CF,67,68,775000,3,2,LB,73,39,56,60,64,70
C. Ramírez,26,Mexico,Monarcas Morelia,67,68,900000,4,3,SUB,76,64,61,69,38,50
D. Fällman,29,Sweden,Hammarby IF,67,68,725000,3,2,LCB,53,29,41,42,66,72
T. Pettersson,29,Sweden,Östersunds FK,67,68,725000,2,2,CB,52,53,56,57,63,79
P. van Ooijen,27,Netherlands,VVV-Venlo,67,68,875000,4,3,LW,63,67,68,70,43,56
M. Boyle,26,Australia,Hibernian,67,68,900000,3,3,SUB,93,60,57,67,44,59
M. Endres,28,Germany,SpVgg Unterhaching,67,68,750000,2,2,SUB,51,27,48,39,65,72
U. Taffertshofer,27,Germany,VfL Osnabrück,67,68,775000,3,2,RDM,61,44,55,60,64,77
R. Vanegas,26,Colombia,Deportivo Pasto,67,68,900000,2,3,SUB,84,63,55,70,31,69
M. Catalán,26,Argentina,Atlético de San Luis,67,68,775000,2,2,RB,89,58,63,59,63,68
Y. Boé-Kane,28,France,Le Mans FC,67,68,750000,2,2,LDM,59,43,58,58,66,73
C. Washington,27,Northern Ireland,Heart of Midlothian,67,68,900000,3,2,LS,78,65,55,65,37,72
D. Torres,26,Chile,Audax Italiano,67,68,775000,2,3,LM,74,54,64,64,61,64
Sebas Coris,26,Spain,Girona FC,67,68,900000,3,3,SUB,79,58,62,65,55,60
Song Seung Min,27,Korea Republic,Sangju Sangmu FC,67,68,900000,4,3,SUB,75,62,60,66,41,76
B. Sweat,27,United States,New York City FC,67,68,750000,2,3,SUB,69,43,64,66,66,69
J. Pereira,26,Colombia,Unión Magdalena,67,68,900000,3,3,LM,77,62,60,69,50,66
P. Gladon,27,Netherlands,Willem II,67,68,900000,4,2,SUB,48,66,55,61,27,68
T. Bingöl,26,Turkey,Alanyaspor,67,68,900000,2,3,SUB,80,60,63,68,32,60
A. Rodríguez,26,Colombia,Envigado FC,67,68,900000,3,3,RAM,82,64,60,67,36,62
M. Ajani,25,Germany,SV Wehen Wiesbaden,67,68,900000,4,3,SUB,86,59,61,64,53,74
Luís Machado,26,Portugal,Moreirense FC,67,68,900000,2,3,SUB,78,65,59,72,30,49
Álvaro Traver,26,Spain,Real Sporting de Gijón,67,68,900000,3,4,SUB,73,65,66,68,29,65
M. Roman,27,Romania,Universitatea Craiova,67,68,900000,4,2,ST,69,67,47,64,25,67
Borja Domínguez,27,Spain,CD Lugo,67,68,850000,2,2,SUB,35,59,67,64,62,65
Y. Nakano,26,Japan,Hokkaido Consadole Sapporo,67,68,900000,4,3,SUB,86,53,59,69,34,61
M. Kvesić,27,Bosnia Herzegovina,1. FC Magdeburg,67,68,875000,3,3,CAM,81,65,65,74,24,53
A. Delamea,28,Slovenia,New England Revolution,67,68,750000,3,2,SUB,56,32,48,56,66,70
F. Obilor,28,Nigeria,HJK Helsinki,67,68,750000,3,2,SUB,74,23,36,43,66,78
M. Farrona Pulido,26,Germany,VfL Osnabrück,67,68,900000,5,3,SUB,86,59,57,72,29,52
P. Zulu,26,South Africa,Kaizer Chiefs,67,68,900000,4,3,SUB,75,71,62,68,60,61
F. Valot,26,France,New York Red Bulls,67,68,900000,4,3,RES,71,57,63,69,54,65
M. Miers,29,Paraguay,Club Atlético Aldosivi,67,68,725000,3,2,LCB,58,34,42,43,69,64
S. Ishizaki,37,Sweden,IF Elfsborg,67,67,240000,3,3,SUB,57,62,70,69,52,60
M. Marić,35,Switzerland,FC Lugano,67,67,230000,4,2,CB,32,54,49,45,68,73
C. Grindheim,35,Norway,FK Haugesund,67,67,325000,4,3,CAM,38,60,69,66,59,69
I. Henderson,34,England,Rochdale,67,67,400000,3,3,ST,61,68,63,70,35,69
A. Durak,32,Turkey,Çaykur Rizespor,67,67,500000,3,3,SUB,68,61,64,69,62,66
R. Clark,36,United States,Columbus Crew SC,67,67,160000,3,2,SUB,61,62,61,62,64,72
J. Gjasula,33,Albania,1. FC Magdeburg,67,67,450000,3,3,RCB,54,65,69,67,53,69
B. Jones,32,England,Rotherham United,67,67,475000,3,3,SUB,56,55,59,65,69,70
J. Buxton,34,England,Burton Albion,67,67,280000,2,2,LCB,42,36,45,36,65,71
R. Wallace,34,Scotland,Fleetwood Town,67,67,375000,3,3,RES,66,65,69,70,51,51
F. Cubero,40,Argentina,Vélez Sarsfield,67,67,0,3,2,RES,41,43,63,53,63,69
F. Öztorun,32,Turkey,Atiker Konyaspor,67,67,475000,2,2,LB,66,43,59,65,66,67
S. Özkan,32,Turkey,Antalyaspor,67,67,600000,3,3,SUB,71,64,66,71,30,55
Juande,32,Spain,Perth Glory,67,67,500000,3,2,RCM,64,41,60,60,64,73
David Barral,36,Spain,Racing Santander,67,67,270000,3,3,ST,65,66,56,63,39,71
Iñaki Astiz,35,Spain,Legia Warszawa,67,67,230000,2,2,RES,48,26,46,42,66,63
A. Cristea,35,Romania,Politehnica Iaşi,67,67,350000,3,2,SUB,55,68,67,63,42,67
D. Murphy,36,Republic of Ireland,Nottingham Forest,67,67,270000,3,2,RES,41,69,58,59,33,74
M. Halsti,35,Finland,Esbjerg fB,67,67,230000,3,2,LCB,32,46,62,51,65,70
J. Coppinger,38,England,Doncaster Rovers,67,67,260000,3,3,CAM,49,65,68,68,43,60
P. Netzer,33,Austria,SCR Altach,67,67,350000,3,2,LCB,41,48,58,56,66,67
J. Samuelsen,34,Norway,Odds BK,67,67,375000,3,3,SUB,56,61,65,68,61,67
